date,Wind_speed,Power,Nacelle_ambient_temperature,Generator_bearing_temperature,Gear_oil_temperature,Ambient_temperature,Rotor_Speed,Nacelle_temperature,Bearing_temperature,Generator_speed,Yaw_angle,Wind_direction,Wheel_hub_temperature,Gear_box_inlet_temperature,Failure_status
2/1/2021,7.87853123,2.315369875,32.74016479,86.45239854,65.04968802,33.68018437,134.1475133,56.46057873,100,1456.017383,14.4371888,7.276999258,12.73884268,17.58429409,No_failure
4/29/2021,43.8804149,0.780599014,-55.9949743,59.77932058,101.430997,-17.60142214,24.19826048,-4.882679199,39.0307392,361.9794468,98.15920098,148.1068471,-75.94116346,28.07877798,Failure
7/27/2021,14.21525733,2.089855205,40,81.044978,50,28.69009273,134.4537921,43.26726867,93.9712371,1402.969527,14.88917352,209.7308052,62.90871101,13.79621573,No_failure
6/5/2021,41.57870582,0.149758287,-54.0500033,46.76731613,112.2245516,-2.777622428,23.75871288,7.769757147,15.7571893,520.0339434,165.9534303,218.7139304,-74.25891018,21.98252521,Failure
5/26/2021,19.06713893,2.973043078,12.73140044,89.48940185,84.52700789,40,111.1737377,48.20621917,70,1167.887109,13.51468025,32.58366415,7.287559223,11.30329174,No_failure
1/26/2021,21.92005314,2.617549847,4.415920326,79.28764565,84.99753896,15.5442069,180.531305,54.57035899,70,1244.267087,15.88487227,53.48329538,-6.775173855,18.56400293,No_failure
6/24/2021,41.39459807,0.410601871,-50.81914743,31.9281067,100.0707357,-8.780497913,9.501585511,5.447852979,56.9805021,570.6362329,152.1588211,100.6136909,-52.55597394,28.11409119,Failure
8/11/2021,11.50717498,3.016257465,40,84.92738687,58.21673128,-4.081118068,234.0144414,53.42225697,100,1028.361513,3.97674245,115.2017306,25.67966636,12.72556711,No_failure
5/28/2021,18.3485015,3.181955455,0.666229822,74.85924964,73.25260507,5.434728299,161.4781745,44.82013809,70,1000,16.61401388,190.101198,44.77553505,18.76616566,No_failure
4/24/2021,17.53053661,3.202156758,22.23030659,86.53814887,73.49172798,30.63468164,300,51.21833012,70,1000,26.00983077,73.13554241,34.21753757,16.08898065,No_failure
11/3/2021,0.11214567,6.98897917,21.09545335,140.3765394,115.4481864,84.11276783,391.2923521,91.39966676,149.0648354,2227.78409,167.3377094,318.9807242,110.6533097,97.89897417,Failure
5/8/2021,14.89510507,3.385771342,11.26487119,77.807918,79.61663981,-1.544869495,101.840935,52.40838226,100,1362.690878,0.257315368,172.8906812,1.016976277,12.8581422,No_failure
10/6/2021,25,2,40,98.89098467,69.43208412,36.06198136,268.4116054,48.89599691,70,1691.939543,11.59032491,39.5269266,38.37608559,18.04375461,No_failure
7/4/2021,17.5819173,2.753055943,3.081724894,89.94647236,76.91264614,-16.31433882,242.9869768,54.28120861,70,1440.657199,8.117197704,113.795865,50.47316742,19.14938139,No_failure
2/23/2021,13.64808307,,14.25638124,83.13955113,59.13802101,-9.943499114,210.5784744,44.83277687,70,1732.371504,16.5986339,56.18507669,-40,13.66994587,No_failure
6/18/2021,23.38588276,3.169432474,40,72.8522729,60.26138369,-1.488542972,55.70927651,39.50497308,70,1599.089539,15.07899512,15.15430537,-1.7438154,16.65213043,No_failure
8/4/2021,7.083153502,3.027461592,40,96.35901017,56.70277503,35.43235343,171.4567152,38.43592571,91.67220878,1065.00428,46.85497966,15.01082093,35.61273047,14.8974978,No_failure
6/25/2021,13.75774157,2.678891354,33.69381056,82.24982838,57.68291,4.143650942,227.8238474,40.73438372,74.82228115,1473.539346,2.68252704,16.71386933,5.380321241,12.43771759,No_failure
7/15/2021,19.58043975,2.145514751,13.31547704,73.23296173,68.73581131,25.77181164,221.0026146,59.43892539,70,1420.184563,10.15960614,39.15542825,37.511454,17.69377488,No_failure
8/29/2021,11.6315511,2.835945362,40,86.79702819,84.63597679,17.11318726,86.90347893,49.57762291,100,1434.512248,7.83840533,28.16027506,80,14.39031568,No_failure
3/19/2021,16.14555366,3.155301695,40,71.88110682,78.17662036,9.654595529,259.1894832,42.7639027,70,1256.172788,2.456161207,12.83986845,30.44357507,19.46205613,No_failure
3/28/2021,12.64539728,2.487993875,13.9161319,86.55988324,73.04483871,18.22669827,178.7231338,30.68469028,70,1565.844132,3.993806613,19.71923421,-40,11.0995451,No_failure
7/9/2021,11.83771049,2.760586765,10.44129895,80.22856058,72.24722003,-11.19450269,183.8769643,37.52822509,100,1738.659153,5.574054354,7.110171805,-28.95689016,19.5409133,No_failure
7/30/2021,0.079906067,6.486690866,30.45438227,128.6578574,108.3248486,64.41942739,379.1429749,94.78513034,141.8140126,2476.718352,115.1793617,353.2013229,112.5604135,116.4623205,Failure
9/24/2021,1.59536946,5.91838708,9.908261571,133.6111659,113.7929793,62.161895,360.942433,85.93442122,139.5306113,2121.916604,165.3527695,-50.48761987,98.58030707,112.8571066,Failure
5/25/2021,39.68358544,1.07930186,-57.60859219,64.23206706,129.045845,-10.59178434,19.28415369,0.943272919,15.24479962,768.4070942,90.99590655,-106.8925274,-86.68723673,27.87452895,Failure
1/30/2021,21.54930394,3.5,15.6013456,89.64140913,77.08487192,20.02273263,178.3187512,47.44998769,100,1379.238939,9.033118223,70.04942937,80,14.94404664,No_failure
11/4/2021,10.05408418,3.5,12.35677478,92.91232041,76.6799729,-2.6849636,85.81421588,46.95174664,70,1295.480342,13.88605318,13.93558734,29.02293578,15.00647318,No_failure
7/1/2021,14.3993158,2.066935393,0.365522895,98.23063052,86.12990594,-0.89013754,262.9542549,42.92312996,96.49158295,1500.387106,21.01763249,14.50042567,78.67203435,18.80271695,No_failure
5/3/2021,40.13023405,0.503228078,-34.58735589,36.65724591,105.4855905,-3.114271728,36.19197967,4.978277819,59.8214359,778.6006656,108.0605341,67.1642532,-69.10147056,24.4691749,Failure
9/30/2021,11.28162507,2.756981803,40,71.05235353,75.21320034,19.68454384,115.183278,40.86112154,70,1482.727204,5.707788625,75.1531293,-40,14.41107734,No_failure
11/13/2021,6.721366927,3.365840072,12.70625179,95.9182272,68.6034468,-9.116709666,186.642011,60,70,1118.014517,3.627308838,60.75173966,9.44288992,19.23275348,No_failure
3/21/2021,40.93130032,0.44917629,-43.57877881,44.74108323,113.0180042,-11.21166006,21.80845282,19.34222737,49.21170854,558.0927303,101.6413936,200.9829814,-67.51197465,23.9831634,Failure
5/29/2021,38.54775455,1.027571438,-46.0222519,47.94212887,111.1182562,-13.32171298,26.84094816,-18.20364899,36.27392368,617.3619461,150.2153587,213.1344335,-71.652036,21.75469575,Failure
10/4/2021,8.830548337,2.534211294,23.72584704,83.66137774,82.55255986,-16.33863472,94.53921858,44.44094841,71.24248602,1800,9.754015403,0.635701391,9.488876205,18.62431173,No_failure
3/21/2021,43.15107074,0.162747662,-43.37654253,16.8621089,121.4840476,-8.946108313,38.52798939,-8.210955594,10.27134949,704.5607047,136.654205,115.7861574,-85.09249423,26.29175479,Failure
2/19/2021,13.91962932,3.119348161,,95.85867083,61.59157971,5.3817631,232.5357201,40.24810291,77.44692192,1246.953151,20.17777981,111.330478,56.50284329,13.56434296,No_failure
9/28/2021,18.62142763,2.66240658,0.99536165,93.82503386,57.45436813,22.22785376,169.0902482,34.08935502,100,1539.328044,8.176183429,80.90545391,35.94947281,15.38625734,No_failure
5/15/2021,9.58684537,2.204378698,8.122904248,71.78800431,60.18022164,-1.222557011,261.5203568,39.38761728,100,1508.853086,11.45619874,87.58824405,73.77983417,19.35448541,No_failure
8/25/2021,12.99744516,2.891580443,,98.22801071,70.98681309,2.429651066,300,41.34627555,70,,13.04041882,169.6954728,28.16586913,15.21672448,No_failure
8/5/2021,12.80537843,2.630558865,2.275015994,99.92267053,53.73345724,30.21475328,76.42552538,46.31552364,70,1800,16.00346747,155.2924297,-14.69081762,15.45268788,No_failure
5/17/2021,24.60946419,3.410921262,5.450718365,71.28763559,68.42479831,27.33333535,206.6496663,53.96126975,70,1428.043412,0.228735397,23.20231199,37.37690974,14.10322344,No_failure
9/25/2021,14.37226647,2.066652847,32.37545811,83.17174384,58.69082185,38.85153691,300,47.02726145,100,1437.68178,8.863632571,95.05791814,37.07717788,15.14369483,No_failure
4/11/2021,10.31762137,2.736256981,15.18831021,79.29894041,80.15661877,0.33717812,109.6234808,33.18342202,100,1487.699283,21.19785276,83.85493715,-32.45458971,16.76019501,No_failure
10/31/2021,1.752646694,6.064839699,99.5643498,127.878782,129.7388893,83.39331178,427.801113,76.77295422,149.9491192,2282.640841,68.95259885,147.0667266,95.55947043,119.9274295,Failure
8/26/2021,21.82833887,3.298434922,27.49413156,81.80268575,73.96937295,-16.41647638,174.4263589,46.94882329,70,1554.863803,22.2306526,47.69153669,21.41874606,13.14316101,No_failure
6/17/2021,44.42859012,0.396001456,-57.85802247,33.06221636,122.8206724,-9.46514434,16.29486571,17.12531979,45.61591204,621.602454,143.8178804,104.5182776,-77.79102248,23.62555978,Failure
7/15/2021,14.67745748,2.546834879,18.5002121,95.58010383,74.38893429,18.43935643,256.982583,32.62351194,100,1244.951899,4.759323107,47.90439114,-22.24678887,12.05848288,No_failure
2/26/2021,16.89271275,2,23.49540108,84.93499492,65.77562119,25.16671561,145.8567614,37.02929576,70,1173.110105,2.922139669,85.35281536,-2.051528673,14.1409219,No_failure
1/8/2021,39.06539067,0.611230235,-35.25497472,46.63713777,128.7503142,-18.01419965,16.02228939,16.98989186,18.54393569,749.1126083,117.1259106,243.2863373,-81.77119554,28.73727893,Failure
7/17/2021,15.30091803,3.196267137,10.54984836,96.23561213,74.87390237,34.07621529,66.76485078,42.01163672,100,1511.816023,50.82468614,82.2371221,4.578350102,13.5528261,No_failure
2/6/2021,15.93283252,2.527569521,4.262056168,70.55036877,71.84716861,27.99321545,280.7413171,39.93937702,70,1589.572383,1.220956534,4.683363083,43.06563197,13.17385275,No_failure
4/8/2021,16.36831374,2.504655932,7.957696349,70.40286061,81.1021012,-7.641893866,183.0356394,45.26436782,70,1602.938903,8.679700527,56.50203123,50.50222434,18.20180343,No_failure
1/6/2021,38.1033115,0.054134367,-37.41379239,61.4782678,111.5148384,-18.22502408,22.31391093,13.24286517,40.01184427,592.1308834,139.8333412,-29.45310007,-51.58884347,28.58425903,Failure
4/1/2021,42.41521092,0.279131196,-39.68311189,51.9626303,111.0528134,-5.92591828,0.796556424,8.460485163,28.16141631,435.4986143,142.2571164,340.9993021,-87.16654157,25.99695261,Failure
8/30/2021,5.723775872,3.279710571,5.208792622,74.61058277,70.98093761,7.676343378,131.6281788,41.65786471,100,1360.146769,16.98798387,32.44955633,26.8180694,15.88312266,No_failure
12/19/2021,6.12589521,3.143751685,9.99221129,94.46780863,66.64939996,12.72546394,126.7993742,48.70448205,70,1408.954606,1.047673111,184.3247567,1.710467444,17.95749814,No_failure
10/22/2021,0.861686795,11.50000351,15.93718531,135.0485424,103.7743251,74.79556108,422.7455838,85.4047731,149.1922262,2131.46117,113.8022453,215.0331665,119.7173384,108.8895337,Failure
7/28/2021,1.521054762,8.861246168,61.98486046,136.4712283,108.9447716,70.45692592,436.2707825,90.65267224,130.9768844,2489.689203,124.6614325,-138.2940735,113.9523926,72.64015428,Failure
9/2/2021,5.928658227,3.151725928,2.197266717,81.91752635,53.94619381,24.16920801,173.5938064,36.03617649,100,1265.426584,2.676297133,14.70121142,20.99110718,16.0219895,No_failure
8/25/2021,15.69967702,3.5,7.189657434,79.11602938,80.76693625,9.227012181,116.318605,48.55111334,70,1361.093836,11.9828259,167.4828248,78.00030558,11.88323365,No_failure
8/30/2021,0.204928524,10.79485318,92.85912601,127.026278,114.1019673,83.49140413,431.8298832,77.37361477,135.7052623,2064.9081,131.5087372,77.63222699,102.5912792,105.2774456,Failure
12/16/2021,7.886344413,2.312639242,10.84519828,77.21182379,62.17321703,24.10015032,157.0001555,49.50742829,70,1128.358808,2.144523989,53.86859197,-3.826811531,17.12301282,No_failure
